  No,       X,           Y,           Z,     R,   C,   Ch,  Zs,  wMicrons,  hMicrons, wPixels, hPixels
 20983,  219980.8385,  61885.9595,     12.62,   4,  14,   0,  -5,   248.1272,  247.2506,   2028,   2028
 20984,  219980.8385,  61885.9595,     11.35,   4,  14,   0,  -4,   248.1272,  247.2506,   2028,   2028
 20985,  219980.8385,  61885.9595,     10.09,   4,  14,   0,  -3,   248.1272,  247.2506,   2028,   2028
 20986,  219980.8385,  61885.9595,      8.83,   4,  14,   0,  -2,   248.1272,  247.2506,   2028,   2028
 20987,  219980.8385,  61885.9595,      7.56,   4,  14,   0,  -1,   248.1272,  247.2506,   2028,   2028
 20988,  219980.8385,  61885.9595,      6.30,   4,  14,   0,   0,   248.1272,  247.2506,   2028,   2028
 20989,  219980.8385,  61885.9595,      5.04,   4,  14,   0,   1,   248.1272,  247.2506,   2028,   2028
 20990,  219980.8385,  61885.9595,      3.77,   4,  14,   0,   2,   248.1272,  247.2506,   2028,   2028
 20991,  219980.8385,  61885.9595,      2.51,   4,  14,   0,   3,   248.1272,  247.2506,   2028,   2028
 20992,  219980.8385,  61885.9595,      1.24,   4,  14,   0,   4,   248.1272,  247.2506,   2028,   2028
 20993,  219980.8385,  61885.9595,     -0.02,   4,  14,   0,   5,   248.1272,  247.2506,   2028,   2028
 20994,  219980.8385,  61885.9595,     -1.28,   4,  14,   0,   6,   248.1272,  247.2506,   2028,   2028
